pos,,,,trials.thisN,key_resp.corr,key_resp.rt,,,seqRT,ranRT
-50,,,,,1,0.737651057,,,,
-150,,,,,1,0.767619867,,,,
50,,,,,1,0.902026148,,,,
150,,,,,1,0.866731751,,,,
-50,,,,,1,0.799876902,,,,
150,,,,,1,0.721491742,,,,
-150,,,,,1,0.8664569,,,,
50,,,,,1,0.772081055,,,,
-50,,,,,1,0.86800258,,,,
-50,,,,,1,0.681689598,,,,
50,,,,,1,0.651579062,,,,
150,,,,,1,0.702667281,,,,
50,,,,,1,0.699819266,,,,
-50,,,,,1,0.81688624,,,,
150,,,,,1,0.88329398,,,,
-150,,,,,1,0.766423366,,,,
-150,,,,,1,0.553259842,,,,
-150,,,,,1,0.521282834,,,,
50,,,,,1,0.63319838,,,,
150,,,,,1,0.971495243,,,,
150,,,,,1,0.82207904,,,,
-150,,,,,1,0.534902461,,,,
-50,,,,,1,0.800629541,,,,
150,,,,,1,0.783054553,,,,
-150,,,,,1,0.502714432,,,,
-50,,,,,1,0.67114374,,,,
50,,,,,1,0.735455062,,,,
150,,,,,1,1.133232378,,,,
-150,,,,,1,0.433315593,,,,
-50,,,,,1,0.752338755,,,,
150,,,,,1,0.61848152,,,,
50,,,,,1,1.1165606,,,,
50,,,,,1,0.866992573,,,,
50,,,,,1,1.070403631,,,,
-150,,,,,1,0.602364094,,,,
150,,,,,1,0.91653443,,,,
-50,,,,,1,0.900137167,,,,
-150,,,,,1,0.516614455,,,,
50,,,,,1,0.8684393,,,,
150,,,,,1,0.703683843,,,,
-50,,,,,1,0.78312026,,,,
-50,,,,,1,1.535057129,,,,
-50,,,,,1,1.049889297,,,,
-150,,,,,1,0.6349691,,,,
150,,,,,1,0.68747762,,,,
50,,,,,1,1.300130607,,,,
50,,,,,1,1.317551159,,,,
150,,,,,1,0.949448796,,,,
-150,,,,,1,0.716057094,,,,
-50,,,,,1,0.899824318,,,,
-50,,,,,1,0.950216258,,,,
-150,,,,,1,0.635246683,,,,
50,,,,,1,0.866285942,,,,
-150,,,,,0,0.53482654,,,,
50,,,,,1,0.933926659,,,,
50,,,,,1,2.334347919,,,,
50,,,,,1,0.833093361,,,,
-150,,,,,1,0.75062051,,,,
150,,,,,1,0.916232996,,,,
50,,,,,1,0.853863231,,,,
150,,,,,1,0.783021373,,,,
150,,,,,1,0.670110615,,,,
-50,,,,,1,0.782009961,,,,
-150,,,,,1,0.733748683,,,,
50,,,,,1,0.820158152,,,,
-50,,,,,1,0.799827378,,,,
150,,,,,1,0.933136206,,,,
150,,,,,1,0.749031831,,,,
150,,,,,1,0.699371293,,,,
50,,,,,1,0.716112409,,,,
-50,,,,,1,0.816546076,,,,
50,,,,,1,0.751241102,,,,
-150,,,,,1,0.565241914,,,,
-50,,,,,1,0.787780933,,,,
-150,,,,,1,0.453068302,,,,
-150,,,,,1,0.368339542,,,,
50,,,,,1,0.736087858,,,,
-150,,,,,1,0.400532346,,,,
-150,,,,,1,0.433014594,,,,
-50,,,,,1,0.603944826,,,,
-50,,,,,1,0.750163752,,,,
150,,,,,1,0.782763976,,,,
-50,,,,,1,0.966714112,,,,
50,,,,,1,0.785838184,,,,
50,,,,,1,0.899929279,,,,
-150,,,,,1,0.569651732,,,,
-50,,,,,1,0.716930101,,,,
-50,,,,,1,0.736944562,,,,
-50,,,,,1,0.766730094,,,,
150,,,,,1,0.749933101,,,,
-150,,,,,1,0.635377083,,,,
-150,,,,,1,0.388426915,,,,
